Icons,Пиктограммы,Рисунок,Зачастую используется в Tab-bar
Status bar,Системная панель,"Содержит основную системную информацию, такую как доступность связи, текущий оператор сотовой связи, статус подключения к Wi-Fi/3g/LTE, текущее время, статус Bluetooth, будильник, заряд батареи.",Располагается в верхней части экрана
Navigation bar,Панель навигации,"Содержит в себе управляющие элементы для навигации через экраны приложения и управления контентом текущего экрана (не всегда).
Элементы панели навигации: кнопка назад (левый край), заголовок текущего экрана, кнопки дополнительных действий (правый край)",Располагается в верхней части экрана под системной панелью.
Toolbar,Панель инструментов,"Содержит набор действий для управления или взаимодействия с контентом текущего экрана.
Панель инструментов используется когда определенный экран требует больше чем 3х основных действий.",На iPhone располагается у нижнего края экрана. На iPad у верхнего экрана.
Search bar,Панель поиска,"Вид 1: пока текст не был введен в поле поиска, там будет находится заданный по умолчанию текст (Поиск, Search).
Вид 2: как только пользователь начинает вводить поисковой запрос, текст Поиск» или «Search» исчезает, а кнопка очистки введенного текста появляется у правого края.
Вид 3: панель поиска содержит подсказку – короткое предложение которое описывает возможности поиска. Например: «Введите название книги, автора или часть текста для поиска».",
Tab bar,Панель вкладок,"Используется для быстрой навигации через разделы приложения которые содержат в себе информацию сгруппированную по определенному признаку.
Панель вкладок может содержать только определенное количество вкладок (iphone - 5, ipad - 7), если число привышено то заменяется на ""еще""",Располагается внизу экрана.
Table view,Таблица,"Простая таблица: может иметь заголовок(вверху таблицы) и описание (внизу таблицы). Так же может быть отображена вертикальная навигация в правой части экрана для навигации через таблицу.
Группированная таблица: позволяет объединитьстроки в группы.
Стандартная таблица: таблица содкржит изображение(может не содержать) расположенное слева и заголовок строки.
С подзаголовком: используется для краткого описания или объяснения.
С значением: позволяет отображать определенное значение которое связано с заголовком строки.",
Activity view,,Окна такого типа используются для выполнения конкретных задач. Эти задачи могут быть системными (поделиться) или созданные разработчиком для данного приложения.,
Actions,Действия,Данный тип используется для выполнения определенного действия со списка возможных действий или для подтверждения/отказа совершенного пользователем действия,Отображается в виде список кнопок и должна присуствовать кнопка отмены.
Alerts,Предупреждения,"Задача предупреждений заключается в уведомлении пользователя о критической информации и, иногда, заставить (или подтолкнуть) пользователя принять определенное решение.","Предупреждение всегда содержит заголовок и одну или две кнопки, которые предусматривают принятие решения. (например кнопки «Отправить» и «Отменить»)"
Edit menu,Меню редактирования,"Меню редактирования позволяет пользователям выполнять функции типа «Скопировать», «Вставить», «Вырезать», когда элемент выделен.",
Popover,Всплывающие окна,Их можно использовать когда определенное действие требует предварительный выбор нескольких элементов.,Данный вид всплывающего окна появляется под связанным обьектом (который вызывает это окно) с стрелкой указывающей на этот объект.
Modals,,,